"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"1379";"PV25  ";"2008JJ00";"124.7";"2.1";"2.1";"19749";"-10.1";"-10.1";"264983";"5233"
"1384";"PV25  ";"2009JJ00";"119.8";"-3.9";"-3.9";"13820";"-30";"-30";"247406";"3419"
"1389";"PV25  ";"2010JJ00";"117.3";"-2.1";"-2.1";"13880";"0.4";"0.4";"245990";"3414"
"1394";"PV25  ";"2011JJ00";"113.5";"-3.2";"-3.2";"13002";"-6.3";"-6.3";"245088";"3187"
"1399";"PV25  ";"2012JJ00";"105.7";"-6.9";"-6.9";"12752";"-1.9";"-1.9";"233365";"2976"
"1404";"PV25  ";"2013JJ00";"98.4";"-6.9";"-6.9";"12060";"-5.4";"-5.4";"215875";"2603"
"1409";"PV25  ";"2014JJ00";"98.1";"-0.3";"-0.3";"16477";"36.6";"36.6";"221921";"3657"
"1414";"PV25  ";"2015JJ00";"100";"2";"2";"19088";"15.8";"15.8";"227324";"4339"
"1419";"PV25  ";"2016JJ00";"103.5";"3.5";"3.5";"23910";"25.3";"25.3";"237769";"5685"
"1424";"PV25  ";"2017JJ00";"110.4";"6.6";"6.6";"28433";"18.9";"18.9";"255392";"7262"
"1429";"PV25  ";"2018JJ00";"119.7";"8.4";"8.4";"25645";"-9.8";"-9.8";"275915";"7076"
"1434";"PV25  ";"2019JJ00";"127.5";"6.6";"6.6";"25701";"0.2";"0.2";"296243";"7614"
"1439";"PV25  ";"2020JJ00";"137.8";"8.1";"8.1";"27371";"6.5";"6.5";"323723";"8861"
"1495";"PV26  ";"2005JJ00";"100.8";"4.5";"4.5";"16230";"8.5";"8.5";"257807";"4184"
